Arriba Saia;LIBERA O TÓIM;Sequestraram o Toim sequestraram...
Art Garfunkel;I ONLY HAVE EYES FOR YOU;Are the stars out tonight…
Art Popular;AGAMAMOU;A galera lá do morro do Salgueiro e Vidigal...
Art Popular;BOM BOCADO;Como um bom bocado pra te devorar
Art Popular;DIZEM QUE A FELICIDADE;Dizem que o amor é um momento...
Art Popular;ENCONTRO (PÉTALAS DE ROSA);Ah ah... ah ah... ah ah...
Art Popular;FRICOTE;Você é meu amor te quero de novo
Art Popular;HISTÓRIA SEM FIM;Lerê rê rê...Do seu amor eu gosto..
Art Popular;IRAÊ;Vejo você me olhar ah, que olhar
Art Popular;MANEIRAS;Se eu quiser fumar eu fumo...
Art Popular;NANI;Quantas vezes Nani tantas vezes Nani
Art Popular;PAGODE DA AMARELINHA;Pagode da amarelinha
Art Popular;PIMPOLHO;Pimpolho é um cara bem legal pena que
Art Popular;POR DEUS;De manhã o sol me diz sexo eu quis...
Art Popular;QUANDO VOCÊ ME BEIJA;Um beijo durante aquele amor...
Art Popular;SAI DA FRENTE;Amor eu não consigo viver mais
Art Popular;TEMPORAL;Faz tempo que a gente não é aquele
Art Popular;TRAPAÇA;Quando você passa tento te dizer
Art Popular;UTOPIA;Pra se dizer que a emoção vem depois
Art Popular;VALEU DEMAIS;Ai valeu demais valeu valeu demais
CANTOR;TÍTULO;INÍCIO DA LETRA
Arthur Dani;SE VOCÊ ME DER;Se você me der me der um pouco de carinho
As Chicas;GERALDINOS E ARQUIBALDOS;Mamãe não quer não faça papai diz não
As Frenéticas;AGITO E USO;Sou uma moça sem recato
As Frenéticas;O PRETO QUE SATISFAZ;Hula hula hula hula
As Frenéticas;PERIGOSA;Sei que eu sou bonita e gostosa
As marcianas;NOSSA MELODIA PREFERIDA;Amor hoje descobri
As Meninas;EU TENHO A MANHA;Saiu de casa...
As Meninas;SAMBA DA NEGA MALUCA;Afe Maria ô nega danada...
As Meninas;XIBOM BOMBOM;Bom xibom... Analisando essa cadeia...
Asa de Águia;A DANÇA DO VAMPIRO;Você é o amor que eu sempre
Asa de Águia;AMOR DE FÉ;Nosso amor não é de brincadeira
Asa de Águia;CASAMENTO NÃO;Não me chame pra morar não me chame pr
Asa de Águia;DANÇA DA MANIVELA;Dança da manivela
Asa de Águia;DIA DO ASA;Leve o seu amor pra passear
Asa de Águia;DIA DOS NAMORADOS;Todo dia no mar do farol
Asa de Águia;FARRAUÊ;Mãos para o alto todo mundo
Asa de Águia;MARÉ MANSA;Amor não dá pra te aturar desse...
Asa de Águia;NÃO TEM LUA;Não tem lua que faça você me amar
Asa de Águia;O REI DA RUA;Eu vou eu vou no toque do tambor
Asa de Águia;VALE NIGHT;Vale night
Asa de Águia e Ivete Sangalo;ALÉM MAR;Tudo que eu preciso eu já tenho aqui
Asaph Borba;EM MINHA VIDA;Em minha vida, mais amor
Asaph Borba;QUEM NOS CONDENARÁ;Quem nos condenará
Asia;ONLY TIME WILL TELL;You're leaving now It's in your eyes
Association;NEVER MY LOVE;You ask me if there'll come a time…
Ataíde e Alexandre;VOCÊ MARCOU PRA MIM;Quando eu acordei pela manhã
Ataulfo Alves;AI! QUE SAUDADES DA AMÉLIA;Nunca vi fazer tanta exigência
Ataulfo Alves;ATIRE A PRIMEIRA PEDRA;Covarde sei que me podem chamar
Ataulfo Jr.;OS MENINOS DA MANGUEIRA;Um menino da Mangueira recebeu pelo
Ataulpho Alves;LEVA MEU SAMBA;Leva meu samba meu mensageiro...
Ataulpho Alves;SEI QUE É COVARDIA...MAS;Sei que é covardia...
Atchim e Espirro;A BARATA DIZ QUE TEM;A barata diz que tem sete saias...
Atchim e Espirro;A CANOA VIROU;A canoa virou fui deixar ela virar...
Atchim e Espirro;A GALINHA CANTORA (A orquestra dos bichos);O Jumento descobriu que era um gênio...
Atchim e Espirro;CARANGUEJO;Caranguejo não é peixe caranguejo...
Atchim e Espirro;CIRANDA CIRANDINHA;Ciranda cirandinha vamos todos...
Atchim e Espirro;ESCRAVOS DE JÓ;Escravos de Jó jogavam caxangá...
Atchim e Espirro;FUI NO ITORORÓ;Eu fui no Itororó beber água e não...
Atchim e Espirro;KING-KONG;Da da da que bonitinho...
Atchim e Espirro;MARCHA SOLDADO;Marcha soldado cabeça de papel...
Atchim e Espirro;MEU GALINHO;Faz três noites que eu não durmo lá lá...
Atchim e Espirro;MINHA VIOLA;Eu tirei um dó da minha viola...
Atchim e Espirro;NESTA RUA TEM UM BOSQUE;Se essa rua se essa rua fosse minha...
Atchim e Espirro;O CIRCO CHEGOU-CHEGOU;Chegou chegou tá na hora da alegria...
Atchim e Espirro;O CRAVO BRIGOU COM A ROSA;O cravo brigou com a rosa...
Atchim e Espirro;PEIXE VIVO;Como pode um peixe vivo viver fora...
Atchim e Espirro;QUEM TEM MEDO DO LOBO MAU;Quem tem medo do lobo mau...
Atitude 4;PRO MUNDO INTEIRO;Eu nunca tive amor assim
Atlantic Starr;ALWAYS;Girl you are to me
Audioslave;LIKE A STONE;On a cold wet afternoon
Augusto César;COMO POSSO TE ESQUECER;Como posso te esquecer se em tudo eu
Augusto César;ESCALADA;Vou escalar todo seu corpo
Augusto César;SAUDADE;Estou lendo a carta que você me escreveu
Auto-Sustentável;2 MUNDOS;Será que dois mundos tão diferentes
Aviões do Forró;ABRE O SOM;Oi abre o som do porta mala
Aviões do Forró;BEBER, CAIR E LEVANTAR;Vamos embora pra um bar
Aviões do Forró;BLÁ BLÁ BLÁ;Que por mim você morre de amor
Aviões do Forró;CHUPA QUE É DE UVA;Vem meu cajuzinho te dou muito carinh
Aviões do Forró;CORRENDO ATRÁS DE MIM;Eu quero ver você correndo
Aviões do Forró;EU NÃO VOU MAIS CHORAR;Eu não vou mais chorar eu não vou mais
Aviões do Forró;INDECISÃO;Quando você diz que me quer
Aviões do Forró;LOCADORA DE MULHER;Eu descobri uma locadora de mulher…
Aviões do Forró;QUEM É O GOSTOSÃO DAQUI?;Quem é o gostosão daqui sou eu sou eu
Aviões do Forró;RISCA-FACA;De bar em bar de mesa em mesa
Aviões do Forró e Banda Calypso;AGORA CHORA;Sei que nada vai fazer você voltar
Avril Lavigne;COMPLICATED;Chill out whatcha yelling' for
Avril Lavigne;DON'T TELL ME;You held my hand and walked me home, I k
Avril Lavigne;I'M WITH YOU;I'm standin' on the bridge
Avril Lavigne;MY WORLD;Please tell me what is takin' place
Avril Lavigne;SKATER BOY;He was a boy she was a girl
B.J. Thomas;OH ME OH MY;To make you laugh
B.J. Thomas;RAINDROPS KEEP FALLING ON MY HEAD;Raindrops keep falling on my head
B.J. Thomas;ROCK AND ROLL LULLABY;She was just sixteen and all alone...
B.Miguel-M.Ramos-P.Lopes;HAKUNA MATATA;Hakuna Matata é lindo de ser...
Babado Novo;A CAMISA E O BOTÃO;Quando o sol sair me beije me beije
Babado Novo;ABC DE ME DAR;Quero você do meu lado pra cantar de
Babado Novo;ACONTECEU VOCÊ;No dia em que o amor chegou
Babado Novo;CAI FORA;Eu não quero te prender diga onde…
Babado Novo;CARANGUEJO;Vou catar caranguejo lá no manguezal
Babado Novo;COLADINHO;Se é pra namorar
Babado Novo;DESPENTEIA;Viver a vida com emoção
Babado Novo;DOCE PAIXÃO;Toda vez que eu te vejo o meu coração dispara
Babado Novo;EXTRAVASA;Dominou geral sacudiu a praça
Babado Novo;INSOLAÇÃO DO CORAÇÃO;Paz carnaval futebol
CANTOR;TÍTULO;INÍCIO DA LETRA
Babado Novo;JANEIRO A JANEIRO;Quero você por inteiro só pra mim
Babado Novo;JANELA;Janela que mostra o céu
Babado Novo;LIRIRRIXA;Lirirrixa timbaleia
Babado Novo;PIRIRIPITI;Piriripiti piriripiti
Babado Novo;ROCK TRIBAL;A rua é o palco universal
Babado Novo;SAFADO, CACHORRO SEM VERGONHA;Deixa de ser mulherengo homem...
Babado Novo;VER-TE MAR;Me leva para ver o mar ver-te mar ver
Babado Novo;BOLA DE SABÃO;Baby baby queria tanto te ver
Babado Novo;PENSANDO EM VOCÊ;Tava satisfeita em te ter como amigo
Baby Consuelo;EMILIA (A BONECA GENTE);De uma caixa de costura pano linha e agulha
Baby Consuelo;MENINO DO RIO;Menino do Rio
Baby Consuelo;SEM PECADO E SEM JUÍZO;Dia após dia começo a encontrar...
Baby do Brasil;UM AUÊ COM VOCÊ;Eu queria tanto voar com você
Backstreet Boys;AS LONG AS YOU LOVE ME;Al though loneliness
Backstreet Boys;DROWNING;ohhh    Don't pretend you're sorry…
Backstreet Boys;MORE THAN THAT;I can see that you’ve been crying…
Backstreet Boys;QUIT PLAYING GAMES (WITH MY HEART);Baby, oh
Backstreet Boys;SHOW ME THE MEANING OF BEING LONELY;Show me the meaning of being lonely
Backstreet Boys;THE CALL;Hello
Backstreet Boys;WE'VE GOT IT GOING ON;Everybody groove to the music
Bad Finger;NO MATTER WHAT;No matter what you are I will always
Baiano e Os Novos Caetanos;FOLIA DE REIS;Ai... andar andei ai... como eu andei
Bala, Bombom e Chocolate;CAIXA POSTAL;Umdharan dharará... Diz pra mim...
Bala, Bombom e Chocolate;FISSURAS DE UM CAASAL;Hoje eu acordei...
Balão Magico;AI MEU NARIZ!;Ai meu nariz a-a-a-a-atchim
Balão Mágico;A GALINHA MAGRICELA;Eu conheço uma galinha a galinha...
Balão Mágico;AMIGOS DO PEITO;Meu nome é Mike gosto muito de
Balão Mágico;ATIREI O PAU NO GATO;Atirei a pau no gato to...
Balão Mágico;BAILE DOS PASSARINHOS;Passarinho quer dançar rabicho
Balão Mágico;BOMBOM (MARIA ISABEL);Sonhei que era um cantor de fama internacional
Balão Mágico;BRUXINHA;Ô bruxinha bonitinha da vassoura de
Balão Mágico;DIA DOS PAIS;Um passarinho me acordou...
Balão Mágico;QUADRINHAS E UM REFRÃO;Canta canta essa canção são
Balão Mágico;SE ENAMORA (E' L' AMORE);Quando você chega na classe
Balão Mágico;SUPERFANTÁSTICO;Super fantastico amigo
Balão Mágico;UM, DOIS, TRÊS INDIOZINHOS;Um dois tres indiozinhos
Balão Mágico;URSINHO PIMPÃO;Vem meu ursinho querido
Balão Mágico e Baby Consuelo;JUNTOS (JUNTOS);É tão bonito ver tantos sonhos
Baltimore;TARZAN BOY;Jungle life, I'm far away from nowhere....
Banda Bach;ATÉ DE MANHÃ;Amor aquilo foi demais pra mim
Banda Beijo;A VIDA É FESTA;Amor quero sentir o teu perfume
Banda Beijo;BATE LATA;Era um menino tocador que dispensou..
Banda Beijo;PERAÊ;Pára de sorrir se não te agarro
Banda Betel;BENÇÃOS NO LOUVOR;Só mesmo Deus pra nos guiar...
Banda Betel;NÃO SEREI MAIS UM HOMEM SÓ;Eu quero andar junto a Deus...
Banda Betel;VALEU MEU DEUS;Vale meu Deus...
Banda Brasil;COMO DÓI;Se eu estou sofrendo é por causa
Banda Brasil;EU TE AMO, TE AMO, TE AMO;Tanto tempo longe de você
Banda Brasil;PODEROSA;Pode ser que eu consiga esquecer
Banda Calypso;A LUA ME TRAIU;Parece até conto de fadas
Banda Calypso;ACELEROU;Quando você se aproximou e me parou
Banda Calypso;ANJO BANDIDO;Gosta de me dominar
Banda Calypso;ARREPIOU;Chegue mais perto
Banda Calypso;CHÁ DE MARACUJÁ;Não adianta ligar que eu não atendo
Banda Calypso;CHAMO POR VOCÊ;Quando eu te vi pela primeira vez…
Banda Calypso;CUMBIA DO AMOR;O amor que sinto por você…
Banda Calypso;DANÇANDO CALYPSO;Chega pra cá meu bem que eu vou te…
Banda Calypso;ESQUEÇA MEU CORAÇÃO;Hoje eu descobri
Banda Calypso;FAÇO TUDO POR VOCÊ;Não adianta dar motivos pra brigar
Banda Calypso;IMAGINO;Imagino nós dois na mesma cama...
Banda Calypso;ISSO É CALYPSO;Chegou virou botou pressão
Banda Calypso;MÁQUINA DO TEMPO;Saudade que não vai embora
Banda Calypso;MUITO ALÉM DO PRAZER;Coração tá em pedaços desde que você
Banda Calypso;OBJETO DE DESEJO;Eu não quero mais você
Banda Calypso;PERDEU O TRONO;Não... não vou deitar na mesma cama
Banda Calypso;PERDOA;Com você eu sonhei um lindo sonho
Banda Calypso;PRA TE ESQUECER;Tanto que eu te imaginei te dei meu
Banda Calypso;SE QUEBROU;Estou pedindo não me ligue mais
Banda Calypso;SEM DIREÇÃO;Eu tenho andado tão carente tão fora
Banda Calypso;TIC-TAC;Já é tarde
Banda Calypso;TUDO DE NOVO;A primeira vez que eu te vi
Banda Calypso;VIAGEM LOUCA;De onde vem
Banda Calypso e Leonardo;MAIS UMA CHANCE;Não foi só uma chuva de verão
Banda Cheiro de Amor;A DANÇA DA SENSUAL;Veja a nova dança que eu vou te
Banda Cheiro de Amor;ABRE CORAÇÃO;Meu amor, estou tão sozinha...
Banda Cheiro de Amor;AMASSADINHO;Amassadinho você vai ver amassadinho vou
Banda Cheiro de Amor;AVIÃOZINHO;Voa, voa aviãozinho vai buscar...
Banda Cheiro de Amor;É DEMAIS MEU REI;Vou dar a volta pelo globo terrestre
Banda Cheiro de Amor;ESTRELA PRIMEIRA;É luz do meu ser
Banda Cheiro de Amor;NOSSA GENTE (AVISA LÁ);Avisa lá que eu vou chegar mais tarde
Banda Cheiro de Amor;O SEU ADEUS;Se for ficar sem seu amor eu piro
Banda Cheiro de Amor;OLHA EU AÍ;Olha
Banda Cheiro de Amor;PEGA NO BALANÇO;É bom demais fazer amor dividir
Banda Cheiro de Amor;PENSE EM MIM;Inspiração dos meus sonhos
CANTOR;TÍTULO;INÍCIO DA LETRA
Banda Cheiro de Amor;QUIXABEIRA;Amor de longe benzinho
Banda Cheiro de Amor;TODO MUNDO DANÇA;Todo mundo dança move corpo
Banda Cheiro de Amor;VAI SACUDIR, VAI ABALAR;Vai sacudir vai abalar
Banda Cheiro de Amor;XEQUERÊ;Som e alto astral axé rock and roll
Banda Colorado;EXPLODE CORAÇÃO;Vou cair na estrada hoje nada vai me
Banda Djavú;ME LIBERA;O que pensa que eu sou
Banda Djavú;NÃO DESLIGA O TELEFONE;Amor por favor não desliga o telefon
Banda Djavú;NAVE DO AMOR;Sou dependente de você
Banda Djavú;SE NÃO VALORIZAR (UMBRELLA);Se não valorizar com certeza você vai
Banda Eva;ALÔ PAIXÃO;Eu não vou perder você
Banda Eva;ANJO;Acredita em anjo pois é sou o seu
Banda Eva;ARERÊ;Tudo que eu quero nessa vida toda
Banda Eva;BELEZA RARA;Eu não posso deixar que o tempo
Banda Eva;BELO DIA;Não é todo dia
Banda Eva;CARRO VELHO;Cheiro de pneu queimado...
Banda Eva;COLEÇÃO;Sei que você gosta de brincar de
Banda Eva;DE LADINHO;Não vou ficar sozinha
Banda Eva;FLORES;Já me feri no espinho daquela flor
Banda Eva;LEVA EU;Oh! Leva eu, eva, eva
Banda Eva;LEVADA LOUCA;Shake, shake, shake, shake, shake,
Banda Eva;LUGAR DA ALEGRIA;Eu quero o que se dá do seu do meu
Banda Eva;MAIS DO QUE PRECISO;Se bate forte o coração é sinal é si
Banda Eva;MANDA VER;Vem correndo pros meus braços
Banda Eva;MARLEY;Tanto tempo se passou
Banda Eva;ME ABRAÇA;Quando você passa eu sinto o seu
Banda Eva;NOSSO AMOR É LINDO;Chega de ficar bem longe
Banda Eva;REGGAE DO PORTO;Entardeceu lá no porto
Banda Eva;RUA 15;Ô subá subaiôba oba oba oba
Banda Eva;TODA LINDA;Olha lá ela passando toda linda
Banda Eva;VEM MEU AMOR;Quando te vejo paro logo em teu
Banda Eva e Ivete Sangalo;NÃO ME CONTE SEUS PROBLEMAS;Então não me conte os seus problemas…
Banda Eva e Netinho;QUÍMICA PERFEITA;Quando ela me olhou não vi mais nada
Banda Mel;BAIANIDADE NAGÔ;Já pintou o verão calor no coração
Banda Mel;BATEU SAUDADE;Jura jura que me dá o seu amor
Banda Mel;CRENÇA E FÉ;Vou dar a volta no mundo
Banda Mel;FESTA NA BAHIA;Deixei minha linda na praia de Itapu
Banda Mel;PREFIXO DE VERÃO;Quando você chegar
Banda Rara;DEIXA TUDO;Talvez você não saiba mas existe
Banda Rara;ESTRELA DA MANHÃ;És a nossa estrela da manhã
Banda Rara;HIP HOP;Olhe bem, preste atenção
Banda Rara;HUMANIDADE;Humanidade perdida tentando
Banda Rara;JESUS É O AMOR;Não houve alguém como Jesus
Banda Rara;MARANATA;Cristo manda atento estar
Banda Rara;METRÓPOLE;Andando pelas ruas de São Paulo
Banda Rara;PASTOR;Ainda que lutas, tristezas
Banda Rara;PRESENÇA;Tua presença em mim é mais que
Banda Rara;PURA HARMONIA;Quem me dera encontrar
Banda Rara;QUERO LEMBRAR;Quero lembrar, Cristo ama você
Banda Rara;REI DO REIS;Reina sim Deus, reina sim
Banda Rara;TUDO QUE EU QUIS;Um dia olhei em mim
Banda Rara;VEM DE FORA;Quando olhamos para o mundo
Banda Rara;VÍCIOS;Olha bem a sua vida diga
Banda Rara;VIDA;Vejo nas pessoas o que eu...
Banda Voa Dois;AMOR PIREI;Sabe amor eu nunca esqueci
Bangles;ETERNAL FLAME;Close your eyes give me your hand darling
Barão Vermelho;A CHAVE DA PORTA DA FRENTE;Becos escuros ruas desertas
Barão Vermelho;BETE BALANÇO;Pode seguir a tua estrela o teu brinquedo
Barão Vermelho;BILHETINHO AZUL;Hoje eu acordei com sono...
Barão Vermelho;CUIDADO;O que você come o que você bebe
Barão Vermelho;FÚRIA E FOLIA;Me chamo vento
Barão Vermelho;MEUS BONS AMIGOS;Meus bons amigos onde estão
Barão Vermelho;O POETA ESTÁ VIVO;Baby compra o jornal e vem ver o sol
Barão Vermelho;PENSE E DANCE;Penso como vai minha vida
Barão Vermelho;POR VOCÊ;Por você eu dançaria tango no teto...
Barão Vermelho;PRO DIA NASCER FELIZ;Todo o dia a insônia me convence
Barão Vermelho;PURO ÊXTASE;Toda brincadeira
Barão Vermelho;SORTE E AZAR;Tudo é questão de obedecer ao instinto
Barbra Streisand;ALL I ASK OF YOU;No more talk of darkness
Barbra Streisand;MEMORY;Midnight
Barbra Streisand;STONEY END;I was born from love…
Barbra Streisand;THE WAY WE WERE;Mem'ries light the corners of my
Barbra Streisand;WHERE YOU LEAD;Wanting you the way I do I only wanna…
Barbra Streisand;WOMAN IN LOVE;life is a moment in space
Barbra Streisand & Barry Gibb;GUILTY;Shadows falling baby we stand alone…
Barbra Streisand & Barry Gibb;WHAT KIND OF FOOL;There was a time…
Barclay J. Harvest;POOR MAN'S MOODY BLUE;All the night that I've missed
Barry Manilow;CAN’T SMILE WITHOUT YOU;You know I can’t smile without you...
Barry Manilow;COPACABANA;Her name was Lola...
Barry Manilow;DAYBREAK;I'm singing to the world
Barry Manilow;EVEN NOW;Even now…
Barry Manilow;I MADE IT THROUGH THE RAIN;We dreamers have our ways
Barry Manilow;I WRITE THE SONGS;I’ve been alive forever...
Barry Manilow;LOOKS LIKE WE MADE IT;There you are…
Barry Manilow;MANDY;I remember all my life...
CANTOR;TÍTULO;INÍCIO DA LETRA
Barry Manilow;READY TO TAKE A CHANCE AGAIN;You remind me I live in a shell
Barry Manilow;THE OLD SONGS;Candles burning glasses are chilled
Barry Manilow;THIS ONE'S FOR YOU;This one'll never sell they'll never…
Bartô Galeno;NO TOCA-FITA DO MEU CARRO;No toca-fita do meu carro
Bartô Galeno;SE EU FOR EMBORA É PRO NOSSO BEM;Se qualquer dia desses ao você desper
Bay City Rollers;SATURDAY NIGHT;Saturday night, saturday night
Beach Boys;GOOD VIBRATION;I, I love the colorful clothes she wears
Beach Boys;SLOOP JOHN B.;We'll come on the sloop John B. my
Beatles;A DAY IN THE LIFE;I read the news today oh boy
Beatles;A HARD DAY'S NIGHT;It's been a hard day's night
Beatles;ALL MY LOVING;Close your eyes and I'll kiss you
Beatles;ALL YOU NEED IS LOVE;Love love love
Beatles;AND I LOVE HER;I give her all my love that's all I do
Beatles;BABY IT'S YOU;Sha la la la la la la
Beatles;CAN'T BUY ME LOVE;Can't buy me love oh love oh
Beatles;COME TOGETHER;Here come old flat top he come
Beatles;DON'T LET ME DOWN;Don't let me down
Beatles;FREE AS A BIRD;Free
Beatles;FROM ME TO YOU;Da da da... If there's anything that you want
Beatles;GET BACK;Jo Jo was a man who thought he was…
Beatles;GIRL;Is there anybody gone to listen
Beatles;HELP;Help I need somebody
Beatles;HEY JUDE;Hey Jude, don’t make it bad...
Beatles;I CALL YOUR NAME;I call your name but you're not there
Beatles;I FEEL FINE;Baby's good to me you know
Beatles;I WANNA HOLD YOUR HAND;Oh yeah I'll tell you something
Beatles;I'LL BE BACK;You know If you break my heart I'll go
Beatles;LET IT BE;When I find myself in times of trouble
Beatles;LOVE ME DO;Love, love me do You know I love you
Beatles;MICHELLE;Michelle, ma belle...
Beatles;MONEY;The best things in life are free
Beatles;NOWHERE MAN;He's a real Nowhere Man sitting in his
Beatles;OBLADI OBLADA;Desmond has a barrow in the
Beatles;OH DARLING;Oh darling please believe me…
Beatles;SHE LOVES YOU;She loves you yeah, yeah, yeah
Beatles;SOMETHING;Something in the way she moves...
Beatles;THE LONG AND WINDING ROAD;The long and winding road
Beatles;TICKET TO RIDE;I think I'm gonna be sad…
Beatles;TWIST AND SHOUT;Well shake it up baby twist and shout...
Beatles;WHEN I'M SIXTY-FOUR;When I get older losing my hair
Beatles;YELLOW SUBMARINE;In the town where I was born
Beatles;YESTERDAY;Yesterday
Bebel Gilberto;O CAMINHO;Não quero mais seguir um só caminho…
Bebeto;A BELEZA É VOCÊ MENINA;A beleza é você menina no seu jeito
Bebeto;ESSA MENINA;Essa menina não sabe
Bebeto;SEGURA A NEGA;A gente pra viver bem nesse mundo
Bee Gees;DON'T FORGET TO REMEMBER;Oh my heart won't believe
Bee Gees;FIRST OF MAY;When I was small...
Bee Gees;GREASE;I saw my problems and I'll see the light...
Bee Gees;HOW CAN YOU MEND A BROKEN HEART;I can think of younger days
Bee Gees;HOW DEEP IS YOUR LOVE;I know your eyes in the morning sun...
Bee Gees;I CAN'T SEE NOBODY;I walk the lonely streets
Bee Gees;I STARTED A JOKE;I started a joke
Bee Gees;LOVE SO RIGHT;She came on like the night
Bee Gees;MASSACHUSETTS;Feel I’m going back to Massachusetts...
Bee Gees;MORE THAN A WOMAN;Oh, girl I've known you very well
